Region,Category,Sub-Category,Year,Month,Sales
Central,Furniture,Bookcases,2015,January,141.96
Central,Furniture,Bookcases,2015,June,406.00559999999996
Central,Furniture,Bookcases,2015,November,492.1092
Central,Furniture,Bookcases,2015,September,793.9628
Central,Furniture,Bookcases,2016,August,1056.5992
Central,Furniture,Bookcases,2016,December,1052.4371999999998
Central,Furniture,Bookcases,2016,January,1352.3976
Central,Furniture,Bookcases,2016,July,1298.374
Central,Furniture,Bookcases,2016,March,2099.9964
Central,Furniture,Bookcases,2016,November,860.132
Central,Furniture,Bookcases,2016,September,194.32
Central,Furniture,Bookcases,2017,August,398.3328
Central,Furniture,Bookcases,2017,December,1329.096
Central,Furniture,Bookcases,2017,January,1565.88
Central,Furniture,Bookcases,2017,March,241.332
Central,Furniture,Bookcases,2017,November,1298.6248
Central,Furniture,Bookcases,2017,September,3551.6744000000003
Central,Furniture,Bookcases,2018,April,220.2656
Central,Furniture,Bookcases,2018,August,183.372
Central,Furniture,Bookcases,2018,December,538.7728
Central,Furniture,Bookcases,2018,February,89.0664
Central,Furniture,Bookcases,2018,January,212.94
Central,Furniture,Bookcases,2018,June,409.9992
Central,Furniture,Bookcases,2018,March,1228.6648
Central,Furniture,Bookcases,2018,May,828.1312
Central,Furniture,Bookcases,2018,November,533.732
Central,Furniture,Bookcases,2018,October,328.3992
Central,Furniture,Bookcases,2018,September,1067.134
Central,Furniture,Chairs,2015,April,317.058
Central,Furniture,Chairs,2015,August,421.372
Central,Furniture,Chairs,2015,December,4845.736
Central,Furniture,Chairs,2015,February,60.89
Central,Furniture,Chairs,2015,July,2151.66
Central,Furniture,Chairs,2015,June,3447.644
Central,Furniture,Chairs,2015,March,1123.6680000000001
Central,Furniture,Chairs,2015,May,1808.373
Central,Furniture,Chairs,2015,November,3110.536
Central,Furniture,Chairs,2015,October,258.279
Central,Furniture,Chairs,2015,September,3208.836
Central,Furniture,Chairs,2016,April,896.2710000000001
Central,Furniture,Chairs,2016,December,1671.036
Central,Furniture,Chairs,2016,January,199.304
Central,Furniture,Chairs,2016,July,1330.025
Central,Furniture,Chairs,2016,June,197.372
Central,Furniture,Chairs,2016,March,1335.446
Central,Furniture,Chairs,2016,May,3381.107
Central,Furniture,Chairs,2016,November,2732.7700000000004
Central,Furniture,Chairs,2016,October,2843.3999999999996
Central,Furniture,Chairs,2016,September,3321.774
Central,Furniture,Chairs,2017,April,1895.256
Central,Furniture,Chairs,2017,August,1024.716
Central,Furniture,Chairs,2017,December,6584.284000000001
Central,Furniture,Chairs,2017,February,304.45799999999997
Central,Furniture,Chairs,2017,July,781.8019999999999
Central,Furniture,Chairs,2017,June,1004.2760000000001
Central,Furniture,Chairs,2017,March,1935.9759999999999
Central,Furniture,Chairs,2017,May,4451.153
Central,Furniture,Chairs,2017,November,1313.46
Central,Furniture,Chairs,2017,October,425.656
Central,Furniture,Chairs,2017,September,2696.5969999999998
Central,Furniture,Chairs,2018,April,317.058
Central,Furniture,Chairs,2018,August,74.592
Central,Furniture,Chairs,2018,December,3410.5240000000003
Central,Furniture,Chairs,2018,February,600.558
Central,Furniture,Chairs,2018,January,613.414
Central,Furniture,Chairs,2018,July,1011.9540000000001
Central,Furniture,Chairs,2018,June,1527.32
Central,Furniture,Chairs,2018,March,4874.952
Central,Furniture,Chairs,2018,May,3150.375
Central,Furniture,Chairs,2018,November,2539.344
Central,Furniture,Chairs,2018,October,748.02
Central,Furniture,Chairs,2018,September,2424.474
Central,Furniture,Furnishings,2015,April,5.47
Central,Furniture,Furnishings,2015,August,53.88
Central,Furniture,Furnishings,2015,December,373.27599999999995
Central,Furniture,Furnishings,2015,February,378.42
Central,Furniture,Furnishings,2015,January,364.398
Central,Furniture,Furnishings,2015,July,34.236
Central,Furniture,Furnishings,2015,March,63.552
Central,Furniture,Furnishings,2015,May,140.554
Central,Furniture,Furnishings,2015,November,51.292
Central,Furniture,Furnishings,2015,October,37.088
Central,Furniture,Furnishings,2015,September,938.634
Central,Furniture,Furnishings,2016,April,6.16
Central,Furniture,Furnishings,2016,August,255.684
Central,Furniture,Furnishings,2016,December,336.56600000000003
Central,Furniture,Furnishings,2016,February,69.184
Central,Furniture,Furnishings,2016,January,308.084
Central,Furniture,Furnishings,2016,July,7.76
Central,Furniture,Furnishings,2016,June,75.384
Central,Furniture,Furnishings,2016,March,400.17199999999997
Central,Furniture,Furnishings,2016,May,295.106
Central,Furniture,Furnishings,2016,November,495.85200000000003
Central,Furniture,Furnishings,2016,October,221.296
Central,Furniture,Furnishings,2016,September,57.312
Central,Furniture,Furnishings,2017,April,338.572
Central,Furniture,Furnishings,2017,August,37.504
Central,Furniture,Furnishings,2017,December,333.438
Central,Furniture,Furnishings,2017,February,89.976
Central,Furniture,Furnishings,2017,January,23.076
Central,Furniture,Furnishings,2017,July,670.2
